metric,orig,surr,orig-surr
spike_count,1.0,1.0,0.0
latency,12.189999999999973,12.189999999999973,0.0
mean_isi,,,
std_isi,,,
peak_voltage,40.01584383508003,40.57741652089006,-0.5615726858100345
AP_amplitude,96.00649384714073,96.50688289221739,-0.500389045076659
AP_begin_voltage,-55.990650012060705,-55.92946637132732,-0.06118364073338256
AP_rise_rate,80.00541153928422,80.42240241018145,-0.416990870897223
AP_fall_rate,-45.877077515437385,-45.94857713907553,0.07149962363814666
AP_duration_half_width,1.2999999999999954,1.2999999999999954,0.0
AP_rise_time,1.1999999999999957,1.1999999999999957,0.0
AP_fall_time,2.499999999999991,2.499999999999991,0.0
AHP_depth,-13.640274320121542,-13.638013780557138,-0.0022605395644035298
AHP_time_from_peak,2.6999999999999904,2.79999999999999,-0.09999999999999964
